MUNICIPIO,LEITOS_EXISTENTES,LATITUDE,LONGITUDE
CACULE,208,-14.4990734,-42.2233006
CAEM,152,-11.0909658,-40.4322187
CAETANOPOLIS,153,-19.2947496,-44.4138386
CAETE,239,-19.897777,-43.670278
CAETES,200,-8.7728788,-36.6255835
CAETITE,716,-14.0691776,-42.4852428
CAFARNAUM,132,-11.691399,-41.468823
CAFELANDIA,312,-21.8054355,-49.6030627
CAIAPONIA,144,-16.9538779,-51.8090761
CAIBATE,164,-28.287909,-54.64027
CAIBI,88,-27.0751925,-53.2502133
CAICARA,164,-27.2750478,-53.4310053
CAICARA DO NORTE,24,-5.0645017,-36.0561226
CAICARA DO RIO DO VENTO,32,-5.757968,-36.00089
